Summary of Changes
Budget changes,0
Bid changes,0
Status changes,34

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-19 14:10,Campaign,T1826392760377425,On/Off Status,s**********a@azurgames.com,Desktop,--,"2025-03-19 14:10: Campaign changed from Paused to Enabled"
2025-03-19 14:10,Ad group,T1826392760377441,On/Off Status,s**********a@azurgames.com,Desktop,--,"2025-03-19 14:10: Campaign changed from Paused to Enabled"
2025-03-19 14:10,Ad group,T1826391937920018,On/Off Status,s**********a@azurgames.com,Desktop,--,"2025-03-19 14:10: Campaign changed from Paused to Enabled"
2025-03-19 14:10,Campaign,T1826391937920002,On/Off Status,s**********a@azurgames.com,Desktop,--,"2025-03-19 14:10: Campaign changed from Paused to Enabled"
2025-03-19 14:10,Ad group,T1826390989588513,On/Off Status,s**********a@azurgames.com,Desktop,--,"2025-03-19 14:10: Campaign changed from Paused to Enabled"
2025-03-19 14:10,Campaign,T1826390989588497,On/Off Status,s**********a@azurgames.com,Desktop,--,"2025-03-19 14:10: Campaign changed from Paused to Enabled"
2025-03-12 12:55,Ad,T1826392762608641,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:55: Status changed from b'In review' to b'Approved'"
2025-03-12 12:55,Ad,T1826392761371681,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:55: Status changed from b'In review' to b'Approved'"
2025-03-12 12:55,Ad,T1826392761365569,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:55: Status changed from b'In review' to b'Approved'"
2025-03-12 12:55,Ad,T1826392762602529,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:55: Status changed from b'In review' to b'Approved'"
2025-03-12 12:55,Ad,T1826392762622977,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:55: Status changed from b'In review' to b'Approved'"
2025-03-12 12:55,Ad,T1826392762615841,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:55: Status changed from b'In review' to b'Approved'"
2025-03-12 12:55,Ad,T1826392764532770,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:55: Status changed from b'In review' to b'Approved'"
2025-03-12 12:55,Ad,T1826392762596417,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:55: Status changed from b'In review' to b'Approved'"
2025-03-12 12:54,Ad group,T1826392760377441,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:54: Review Status changed from b'Not approved' to b'Approved'"
2025-03-12 12:51,Ad group,T1826392760377441,On/Off Status,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Campaign changed from Enabled to Paused"
2025-03-12 12:51,Campaign,T1826392760377425,On/Off Status,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Campaign changed from Enabled to Paused"
2025-03-12 12:51,Ad,T1826392764532770,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad"
2025-03-12 12:51,Ad group,T1826392760377441,Ad group,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad group"
2025-03-12 12:51,Campaign,T1826392760377425,Campaign,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Campaign"
2025-03-12 12:51,Ad,T1826392762608641,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad"
2025-03-12 12:51,Ad,T1826392761371681,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad"
2025-03-12 12:51,Ad,T1826392762596417,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad"
2025-03-12 12:51,Ad,T1826392762615841,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad"
2025-03-12 12:51,Ad,T1826392762622977,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad"
2025-03-12 12:51,Ad,T1826392761365569,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad"
2025-03-12 12:51,Ad,T1826392762602529,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:51: Create Ad"
2025-03-12 12:41,Ad,T1826391937984594,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:41: Status changed from b'In review' to b'Approved'"
2025-03-12 12:41,Ad,T1826391937977458,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:41: Status changed from b'In review' to b'Approved'"
2025-03-12 12:41,Ad group,T1826391937920018,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:41: Review Status changed from b'Not approved' to b'Approved'"
2025-03-12 12:41,Ad,T1826391940699154,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:41: Status changed from b'In review' to b'Approved'"
2025-03-12 12:41,Ad,T1826391940693042,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:41: Status changed from b'In review' to b'Approved'"
2025-03-12 12:41,Ad,T1826391937963058,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:41: Status changed from b'In review' to b'Approved'"
2025-03-12 12:41,Ad,T1826391937972242,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:41: Status changed from b'In review' to b'Approved'"
2025-03-12 12:41,Ad,T1826391937990706,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:41: Status changed from b'In review' to b'Approved'"
2025-03-12 12:40,Ad,T1826391940686866,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:40: Status changed from b'In review' to b'Approved'"
2025-03-12 12:40,Ad group,T1826390989588513,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:40: Review Status changed from b'In review' to b'Approved'"
2025-03-12 12:38,Campaign,T1826391937920002,On/Off Status,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Campaign changed from Enabled to Paused"
2025-03-12 12:38,Ad group,T1826391937920018,On/Off Status,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Campaign changed from Enabled to Paused"
2025-03-12 12:38,Ad,T1826391937977458,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad"
2025-03-12 12:38,Ad,T1826391937963058,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad"
2025-03-12 12:38,Ad,T1826391940699154,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad"
2025-03-12 12:38,Ad,T1826391940693042,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad"
2025-03-12 12:38,Ad group,T1826391937920018,Ad group,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad group"
2025-03-12 12:38,Campaign,T1826391937920002,Campaign,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Campaign"
2025-03-12 12:38,Ad,T1826391940686866,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad"
2025-03-12 12:38,Ad,T1826391937990706,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad"
2025-03-12 12:38,Ad,T1826391937984594,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad"
2025-03-12 12:38,Ad,T1826391937972242,Ad,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:38: Create Ad"
2025-03-12 12:28,Ad group,T1826390989588513,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-12 12:28: Review Status changed from b'Not approved' to b'In review'"
2025-03-12 12:27,Ad group,T1826390989588513,Creative,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:27: Display Name changed; 2025-03-12 12:27: Text changed; 2025-03-12 12:27: Video changed"
2025-03-12 12:23,Ad group,T1826390989588513,On/Off Status,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:23: Campaign changed from Enabled to Paused"
2025-03-12 12:23,Campaign,T1826390989588497,On/Off Status,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:23: Campaign changed from Enabled to Paused"
2025-03-12 12:23,Ad group,T1826390989588513,Ad group,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:23: Create Ad group"
2025-03-12 12:23,Campaign,T1826390989588497,Campaign,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:23: Create Campaign"
2025-03-12 12:06,Ad group,T1825205451930674,On/Off Status,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:06: Campaign changed from Enabled to Paused"
2025-03-12 12:06,Campaign,T1825205451927554,On/Off Status,a*****d@azurgames.com,Desktop,--,"2025-03-12 12:06: Campaign changed from Enabled to Paused"
