Summary of Changes
Budget changes,10
Bid changes,0
Status changes,297

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-24 10:27,Ad group,T1826832996372530,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:27: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-24 10:25,Ad group,T1826831629454386,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:25: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-24 10:25,Ad,T1827470514155538,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:25: Status changed from b'In review' to b'Approved'"
2025-03-24 10:25,Ad,T1827470450286642,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:25: Status changed from b'In review' to b'Approved'"
2025-03-24 10:23,Ad,T1827470231457953,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:23: Status changed from b'In review' to b'Approved'"
2025-03-24 10:23,Ad group,T1826832167650337,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:23: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-24 10:23,Ad,T1827470330870961,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:23: Status changed from b'In review' to b'Approved'"
2025-03-24 10:22,Ad group,T1826832996372530,Review Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:22: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-24 10:22,Ad group,T1826832996372530,Creative,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:22: Video changed"
2025-03-24 10:21,Ad,T1827470514155538,Ad,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:21: Create Ad"
2025-03-24 10:20,Ad,T1827470450286642,Ad,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:20: Create Ad"
2025-03-24 10:20,Ad group,T1826831629454386,Review Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:20: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-24 10:19,Ad,T1826831630650385,On/Off Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:19: Ad changed from Enabled to Paused"
2025-03-24 10:19,Ad,T1826831630629042,On/Off Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:19: Ad changed from Enabled to Paused"
2025-03-24 10:18,Ad,T1827470330870961,Ad,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:18: Create Ad"
2025-03-24 10:17,Ad,T1827470024628338,On/Off Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:17: Ad changed from Enabled to Paused"
2025-03-24 10:17,Ad,T1827470231457953,Ad,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:17: Create Ad"
2025-03-24 10:17,Ad group,T1826832167650337,Review Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:17: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-24 10:16,Ad group,T1826832167650337,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:16: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-24 10:16,Ad,T1827470024628338,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 10:16: Status changed from b'In review' to b'Approved'"
2025-03-24 10:13,Ad,T1827470024628338,Ad,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:13: Create Ad"
2025-03-24 10:13,Ad group,T1826832167650337,Review Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:13: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-24 10:09,Ad,T1826832580227090,On/Off Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:09: Ad changed from Enabled to Paused"
2025-03-24 10:09,Ad,T1826832380140689,On/Off Status,t*m@taiyouxi.cn,Desktop,--,"2025-03-24 10:09: Ad changed from Enabled to Paused"
