Summary of Changes
Budget changes,0
Bid changes,0
Status changes,31

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-24 09:03,Campaign,T1826933216721122,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-24 09:03: Campaign changed from Enabled to Paused"
2025-03-24 09:03,Ad group,T1826933216721138,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-24 09:03: Campaign changed from Enabled to Paused"
2025-03-24 04:08,Ad group,T1826933216721138,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 04:08: Review Status changed from b'Approved' to b'Partially Approved'"
2025-03-19 13:50,Ad group,T1823685437051954,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 13:50: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-19 13:44,Ad group,T1823685691717666,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 13:44: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-19 13:42,Ad group,T1823685437051954,Creative,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:42: Video changed"
2025-03-19 13:42,Ad group,T1823685437051954,Review Status,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:42: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-19 13:41,Ad group,T1826285817583618,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 13:41: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-19 13:40,Ad group,T1823685691717666,Creative,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:40: Video changed"
2025-03-19 13:40,Ad group,T1823685691717666,Review Status,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:40: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-19 13:38,Ad group,T1826472927156354,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 13:38: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-19 13:35,Ad group,T1826285817583618,Review Status,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:35: Review Status changed from b'In review' to b'Edited for review'"
2025-03-19 13:35,Ad group,T1826285817583618,Creative,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:35: Video changed"
2025-03-19 13:34,Ad group,T1826472927156354,Creative,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:34: Video changed"
2025-03-19 13:34,Ad group,T1826472927156354,Review Status,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:34: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-19 13:25,Campaign,T1826473380681793,On/Off Status,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:25: Campaign changed from Enabled to Paused"
2025-03-19 13:25,Ad group,T1826473380681809,On/Off Status,o********a@kefirgames.com,Desktop,--,"2025-03-19 13:25: Campaign changed from Enabled to Paused"
2025-03-18 12:04,Ad group,T1826933216721138,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-18 12:04: Review Status changed from b'In review' to b'Approved'"
2025-03-18 12:01,Ad group,T1826933216721138,Creative,k*******a@kefirgames.com,Desktop,--,"2025-03-18 12:01: Display Name changed; 2025-03-18 12:01: Text changed"
2025-03-18 12:01,Ad group,T1826933216721138,Ad group,k*******a@kefirgames.com,Desktop,--,"2025-03-18 12:01: Create Ad group"
2025-03-18 12:01,Campaign,T1826933216721122,Campaign,k*******a@kefirgames.com,Desktop,--,"2025-03-18 12:01: Create Campaign"
2025-03-17 12:18,Campaign,T1826826951398561,Settings,k*******a@kefirgames.com,Desktop,--,"2025-03-17 12:18: Name changed from b'[LDoE | Android] [Smart+] ZK28 [TEST] (Tier1 | Non-CBO | VO | Purchase | 1d | Broad | 18.03.25 | D0 ROAS HV)' to b'[LDoE | Android] ZK28 [TEST] (Tier1 | Non-CBO | VO | Purchase | 1d | Broad | 18.03.25 | D0 ROAS HV)'"
2025-03-17 08:26,Ad group,T1825930908449810,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 08:26: Campaign changed from Paused to Enabled"
2025-03-17 08:26,Campaign,T1825930908448882,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 08:26: Campaign changed from Paused to Enabled"
2025-03-17 08:26,Campaign,T1825932109184017,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 08:26: Campaign changed from Paused to Enabled"
2025-03-17 08:26,Ad group,T1825932109184033,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 08:26: Campaign changed from Paused to Enabled"
2025-03-17 08:26,Campaign,T1826826951398561,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 08:26: Campaign changed from Paused to Enabled"
2025-03-17 08:26,Ad group,T1826826952748066,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 08:26: Campaign changed from Paused to Enabled"
2025-03-17 07:57,Ad,T1826826955016193,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 07:57: Status changed from b'In review' to b'Approved'"
2025-03-17 07:57,Ad,T1826826955021345,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 07:57: Status changed from b'In review' to b'Approved'"
2025-03-17 07:57,Ad,T1826826955033697,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 07:57: Status changed from b'In review' to b'Approved'"
2025-03-17 07:57,Ad,T1826826955001858,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 07:57: Status changed from b'In review' to b'Approved'"
2025-03-17 07:57,Ad,T1826826955009121,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 07:57: Status changed from b'In review' to b'Approved'"
2025-03-17 07:57,Ad,T1826826955028545,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 07:57: Status changed from b'In review' to b'Approved'"
2025-03-17 07:56,Ad group,T1826826952748066,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 07:56: Review Status changed from b'In review' to b'Approved'"
2025-03-17 07:53,Ad group,T1825931635006641,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:53:"
2025-03-17 07:53,Campaign,T1825931635006625,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:53:"
2025-03-17 07:53,Campaign,T1826483550550049,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:53:"
2025-03-17 07:53,Ad group,T1826483550550065,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:53:"
2025-03-17 07:52,Ad group,T1826826952748066,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Campaign changed from Enabled to Paused"
2025-03-17 07:52,Campaign,T1826826951398561,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Campaign changed from Enabled to Paused"
2025-03-17 07:52,Ad,T1826826955009121,Ad,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Create Ad"
2025-03-17 07:52,Campaign,T1826826951398561,Campaign,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Create Campaign"
2025-03-17 07:52,Ad,T1826826955028545,Ad,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Create Ad"
2025-03-17 07:52,Ad,T1826826955021345,Ad,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Create Ad"
2025-03-17 07:52,Ad,T1826826955033697,Ad,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Create Ad"
2025-03-17 07:52,Ad group,T1826826952748066,Ad group,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Create Ad group"
2025-03-17 07:52,Ad,T1826826955001858,Ad,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Create Ad"
2025-03-17 07:52,Ad,T1826826955016193,Ad,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:52: Create Ad"
2025-03-17 07:42,Ad group,T1826314522191874,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:42: Campaign changed from Enabled to Paused"
2025-03-17 07:42,Campaign,T1826314522189842,On/Off Status,k*******a@kefirgames.com,Desktop,--,"2025-03-17 07:42: Campaign changed from Enabled to Paused"
