Summary of Changes
Budget changes,0
Bid changes,0
Status changes,59

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-25 15:10,Ad,T1827576971589714,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:10: Status changed from b'In review' to b'Approved'"
2025-03-25 15:10,Ad,T1827576971589746,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:10: Status changed from b'In review' to b'Approved'"
2025-03-25 15:10,Ad,T1827576971589698,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:10: Status changed from b'In review' to b'Approved'"
2025-03-25 15:10,Ad,T1827576971589730,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:10: Status changed from b'In review' to b'Approved'"
2025-03-25 15:10,Ad,T1827577103801457,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:10: Status changed from b'In review' to b'Approved'"
2025-03-25 15:10,Ad,T1827577103801425,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:10: Status changed from b'In review' to b'Approved'"
2025-03-25 15:10,Ad,T1827577103801441,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:10: Status changed from b'In review' to b'Approved'"
2025-03-25 15:08,Ad group,T1827577107729473,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:08: Review Status changed from b'In review' to b'Approved'"
2025-03-25 15:08,Ad group,T1827577109719058,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:08: Review Status changed from b'In review' to b'Approved'"
2025-03-25 15:08,Ad group,T1827577112100881,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 15:08: Review Status changed from b'In review' to b'Approved'"
2025-03-25 14:38,Ad,T1827577049959457,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 14:38: Status changed from b'In review' to b'Approved'"
2025-03-25 14:38,Ad,T1827577049959441,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 14:38: Status changed from b'In review' to b'Approved'"
2025-03-25 14:38,Ad,T1827577049959425,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 14:38: Status changed from b'In review' to b'Approved'"
2025-03-25 14:38,Ad,T1827577049959473,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-25 14:38: Status changed from b'In review' to b'Approved'"
2025-03-25 14:38,Ad group,T1827577112100881,Settings,a*******v@dreamsim.world,Desktop,--,"2025-03-25 14:38: Name changed from b'T1--android--purch_D0--broad--tt--250325--02 (top_2)' to b'T1--android--purch_D0--broad--tt--250326--02 (top_2)'"
2025-03-25 14:37,Ad group,T1827577109719058,Settings,a*******v@dreamsim.world,Desktop,--,"2025-03-25 14:37: Name changed from b'T1--android--purch_D0--broad--tt--250326--02 (top_1)' to b'T1--android--purch_D0--broad--tt--250326--01 (top_1)'"
2025-03-25 14:36,Ad,T1827577049959441,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:36: Create Ad"
2025-03-25 14:36,Ad,T1827577049959425,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:36: Create Ad"
2025-03-25 14:36,Ad,T1827577049959473,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:36: Create Ad"
2025-03-25 14:36,Ad,T1827577049959457,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:36: Create Ad"
2025-03-25 14:36,Ad group,T1827577112100881,Ad group,a*******v@dreamsim.world,Desktop,--,"2025-03-25 14:36: Create Ad group"
2025-03-25 14:36,Ad group,T1827577112100881,Creative,a*******v@dreamsim.world,Desktop,--,"2025-03-25 14:36: Display Name changed; 2025-03-25 14:36: Text changed; 2025-03-25 14:36: Video changed"
video--[choices]-[parents,success]-[labyrinth_of_success]-[bm]-[variation_1]--RS+AV--512-670.mp4'"}]},T {"action": "Change ", "name": "Interactive Add-on", "before_after": [{"after": "b'7365096507706510343'"}]}, {"action": "Change ", "name": "Identity Icon",""
2025-03-25 14:36,Ad,T1827577103801457,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:36: Create Ad"
2025-03-25 14:36,Ad,T1827577103801425,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:36: Create Ad"
2025-03-25 14:36,Ad,T1827577103801441,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:36: Create Ad"
2025-03-25 14:35,Ad group,T1827577109719058,Ad group,a*******v@dreamsim.world,Desktop,--,"2025-03-25 14:35: Create Ad group"
2025-03-25 14:35,Ad group,T1827577109719058,Creative,a*******v@dreamsim.world,Desktop,--,"2025-03-25 14:35: Display Name changed; 2025-03-25 14:35: Text changed; 2025-03-25 14:35: Video changed"
2025-03-25 14:35,Ad,T1827576971589698,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:35: Create Ad"
2025-03-25 14:35,Ad,T1827576971589714,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:35: Create Ad"
2025-03-25 14:35,Ad,T1827576971589730,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:35: Create Ad"
2025-03-25 14:35,Ad,T1827576971589746,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-25 14:35: Create Ad"
2025-03-25 14:35,Ad group,T1827577107729473,Ad group,a*******v@dreamsim.world,Desktop,--,"2025-03-25 14:35: Create Ad group"
2025-03-25 14:35,Ad group,T1827577107729473,Creative,a*******v@dreamsim.world,Desktop,--,"2025-03-25 14:35: Display Name changed; 2025-03-25 14:35: Text changed; 2025-03-25 14:35: Video changed"
2025-03-19 19:19,Ad,T1826968046827521,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-19 19:19: Ad group changed from Enabled to Paused"
2025-03-19 19:19,Ad,T1826968046826529,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-19 19:19: Ad group changed from Enabled to Paused"
2025-03-19 19:19,Ad group,T1826968073579522,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-19 19:19: Ad group changed from Enabled to Paused"
2025-03-19 19:19,Ad,T1826968046826545,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-19 19:19: Ad group changed from Enabled to Paused"
2025-03-19 10:09,Ad group,T1825686932416546,On/Off Status,ua@dreamsim.world,Desktop,--,"2025-03-19 10:09: Campaign changed from Paused to Enabled"
2025-03-19 10:09,Campaign,T1825686932416530,On/Off Status,ua@dreamsim.world,Desktop,--,"2025-03-19 10:09: Campaign changed from Paused to Enabled"
2025-03-19 10:09,Ad group,T1825686876660786,On/Off Status,ua@dreamsim.world,Desktop,--,"2025-03-19 10:09: Campaign changed from Paused to Enabled"
2025-03-19 10:09,Campaign,T1825686876660770,On/Off Status,ua@dreamsim.world,Desktop,--,"2025-03-19 10:09: Campaign changed from Paused to Enabled"
2025-03-19 10:09,Campaign,T1825677756280977,On/Off Status,ua@dreamsim.world,Desktop,--,"2025-03-19 10:09: Campaign changed from Paused to Enabled"
2025-03-19 10:09,Ad group,T1825677756280993,On/Off Status,ua@dreamsim.world,Desktop,--,"2025-03-19 10:09: Campaign changed from Paused to Enabled"
2025-03-19 09:52,Ad group,T1825677756280993,Bidding & Optimization,ua@dreamsim.world,Desktop,--,"2025-03-19 09:52: minimum ROAS changed from b'0.05' to b'0.13'"
2025-03-18 21:49,Ad group,T1826968073579522,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-18 21:49: Review Status changed from b'In review' to b'Approved'"
2025-03-18 21:49,Ad,T1826968046826529,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-18 21:49: Status changed from b'In review' to b'Approved'"
2025-03-18 21:49,Ad,T1826968046827521,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-18 21:49: Status changed from b'In review' to b'Approved'"
2025-03-18 21:49,Ad,T1826968046826545,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-18 21:49: Status changed from b'In review' to b'Approved'"
2025-03-18 21:15,Ad,T1826968046827521,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-18 21:15: Create Ad"
2025-03-18 21:15,Ad,T1826968046826545,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-18 21:15: Create Ad"
2025-03-18 21:15,Ad,T1826968046826529,Ad,a*******v@dreamsim.world,Automated Creative Optimization,--,"2025-03-18 21:15: Create Ad"
2025-03-18 21:15,Ad group,T1826968073579522,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-18 21:15: Review Status changed from b'New campaign' to b'In review'"
2025-03-18 21:15,Ad group,T1826968073579522,Creative,a*******v@dreamsim.world,Desktop,--,"2025-03-18 21:15: Display Name changed; 2025-03-18 21:15: Text changed; 2025-03-18 21:15: Video changed"
video--[drama]-[parents]-[sold_dog,sold_dog,Tpillow_house]-[am]-[voice_1]--RS--678.mp4'"}]}, {"action": "Change ", "name": "Interactive Add-on", "before_after": [{"after": "b'7365096507706510343'"}]}, {"action": "Change ",""
2025-03-18 21:15,Ad group,T1826968073579522,Ad group,a*******v@dreamsim.world,Desktop,--,"2025-03-18 21:15: Create Ad group"
2025-03-18 19:35,Ad group,T1825782188012546,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-18 19:35: Ad group changed from Enabled to Paused"
2025-03-18 19:35,Ad,T1825782177793058,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-18 19:35: Ad group changed from Enabled to Paused"
2025-03-18 19:35,Ad,T1825782177793042,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-18 19:35: Ad group changed from Enabled to Paused"
2025-03-18 19:35,Ad,T1826787047418993,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-18 19:35: Ad group changed from Enabled to Paused"
2025-03-18 19:35,Ad,T1826787047419969,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-18 19:35: Ad group changed from Enabled to Paused"
2025-03-18 19:35,Ad,T1826787047418977,On/Off Status,a*******v@dreamsim.world,Desktop,--,"2025-03-18 19:35: Ad group changed from Enabled to Paused"
