Summary of Changes
Budget changes,0
Bid changes,0
Status changes,764

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-22 22:06,Ad group,T1825763719056545,Bidding & Optimization,o*************v@gmail.com,Desktop,--,"2025-03-22 22:06: minimum ROAS changed from b'0.16' to b'0.06'"
2025-03-20 18:19,Ad,T1826864117662850,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117665954,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117668946,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117664834,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118114322,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864116487170,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118117410,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118110242,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118112258,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118113314,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118111250,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118115362,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864116485170,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864116487202,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad group,T1826864112716818,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Review Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117666930,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118112306,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118115330,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117665970,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118114338,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117668962,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117662866,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864116487218,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117670066,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864118111234,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117664882,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
2025-03-20 18:19,Ad,T1826864117659666,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-20 18:19: Status changed from b'In review' to b'Approved'"
