Summary of Changes
Budget changes,0
Bid changes,0
Status changes,71

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-22 07:06,Ad group,T1827276758704146,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-22 07:06: Review Status changed from b'In review' to b'Approved'"
2025-03-22 07:02,Ad group,T1827276758704146,Creative,b*******v@royalarkgames.com,Desktop,--,"2025-03-22 07:02: Display Name changed; 2025-03-22 07:02: Text changed; 2025-03-22 07:02: Video changed"
2025-03-22 07:02,Campaign,T1827276758704130,Campaign,b*******v@royalarkgames.com,Desktop,--,"2025-03-22 07:02: Create Campaign"
2025-03-22 07:02,Ad group,T1827276758704146,Ad group,b*******v@royalarkgames.com,Desktop,--,"2025-03-22 07:02: Create Ad group"
2025-03-21 11:17,Ad group,T1826839887541250,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-21 11:17: Campaign changed from Enabled to Paused"
2025-03-21 11:17,Campaign,T1826839884892274,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-21 11:17: Campaign changed from Enabled to Paused"
2025-03-21 11:17,Campaign,T1826840473418786,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-21 11:17: Campaign changed from Enabled to Paused"
2025-03-21 11:17,Ad group,T1826840473418802,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-21 11:17: Campaign changed from Enabled to Paused"
2025-03-21 11:17,Campaign,T1826841666142241,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-21 11:17: Campaign changed from Enabled to Paused"
2025-03-21 11:17,Ad group,T1826841666142257,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-21 11:17: Campaign changed from Enabled to Paused"
2025-03-19 18:50,Ad group,T1827049101497345,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 18:50: Review Status changed from b'In review' to b'Approved'"
2025-03-19 18:46,Ad group,T1827049101497345,Ad group,b*******v@royalarkgames.com,Desktop,--,"2025-03-19 18:46: Create Ad group"
2025-03-19 18:46,Ad group,T1827049101497345,Creative,b*******v@royalarkgames.com,Desktop,--,"2025-03-19 18:46: Display Name changed; 2025-03-19 18:46: Text changed; 2025-03-19 18:46: Video changed"
2025-03-19 18:46,Campaign,T1827049101496497,Campaign,b*******v@royalarkgames.com,Desktop,--,"2025-03-19 18:46: Create Campaign"
2025-03-17 12:05,Ad group,T1826687262133297,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687215312978,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687233289298,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687241582626,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687252973569,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Campaign,T1826686680974338,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687252086849,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687239906386,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687255232562,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826686680974354,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687250071553,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 12:05,Ad group,T1826687261142050,On/Off Status,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 12:05: Campaign changed from Enabled to Paused"
2025-03-17 11:48,Ad,T1826841668025361,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 11:48: Status changed from b'In review' to b'Approved'"
2025-03-17 11:48,Ad,T1826841668037649,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 11:48: Status changed from b'In review' to b'Approved'"
2025-03-17 11:48,Ad group,T1826841666142257,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 11:48: Review Status changed from b'Not approved' to b'Approved'"
2025-03-17 11:48,Ad,T1826841667078194,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 11:48: Status changed from b'In review' to b'Approved'"
2025-03-17 11:48,Ad,T1826841668030513,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 11:48: Status changed from b'In review' to b'Approved'"
2025-03-17 11:48,Ad,T1826841668013073,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 11:48: Status changed from b'In review' to b'Approved'"
2025-03-17 11:48,Ad,T1826841668018225,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-17 11:48: Status changed from b'In review' to b'Approved'"
2025-03-17 11:46,Campaign,T1826841666142241,Campaign,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 11:46: Create Campaign"
2025-03-17 11:46,Ad,T1826841668018225,Ad,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 11:46: Create Ad"
2025-03-17 11:46,Ad,T1826841668030513,Ad,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 11:46: Create Ad"
2025-03-17 11:46,Ad,T1826841668037649,Ad,b*******v@royalarkgames.com,Desktop,--,"2025-03-17 11:46: Create Ad"
