Summary of Changes
Budget changes,0
Bid changes,0
Status changes,40

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-24 07:25,Ad,T1827458978588834,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 07:25: Status changed from b'In review' to b'Approved'"
2025-03-24 07:25,Ad group,T1826462318017586,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-24 07:25: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-24 07:18,Ad,T1827458978588834,Ad,1********3@qq.com,Desktop,--,"2025-03-24 07:18: Create Ad"
2025-03-23 22:00,Ad,T1826282345316354,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-23 22:00: Status changed from b'In review' to b'Partially Approved'"
2025-03-23 22:00,Ad,T1826282345304066,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-23 22:00: Status changed from b'In review' to b'Partially Approved'"
2025-03-23 22:00,Ad,T1826282345296034,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-23 22:00: Status changed from b'In review' to b'Partially Approved'"
2025-03-23 22:00,Ad,T1826282345310242,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-23 22:00: Status changed from b'In review' to b'Partially Approved'"
2025-03-23 22:00,Ad group,T1826282343724033,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-23 22:00: Review Status changed from b'In review' to b'Partially Approved'"
2025-03-23 22:00,Ad,T1826282345329666,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-23 22:00: Status changed from b'In review' to b'Partially Approved'"
2025-03-23 22:00,Ad,T1826282345322594,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-23 22:00: Status changed from b'In review' to b'Partially Approved'"
2025-03-23 06:02,Ad,T1826462319724561,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-23 06:02: Ad changed from Enabled to Paused"
2025-03-21 06:28,Ad,T1827183649142817,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-21 06:28: Status changed from b'In review' to b'Approved'"
2025-03-21 06:28,Ad group,T1826462318017586,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-21 06:28: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-21 06:22,Ad group,T1826462318017586,Review Status,1********3@qq.com,Desktop,--,"2025-03-21 06:22: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-21 06:22,Ad,T1827183649142817,Ad,1********3@qq.com,Desktop,--,"2025-03-21 06:22: Create Ad"
2025-03-21 06:18,Ad,T1827003754584145,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-21 06:18: Ad changed from Enabled to Paused"
2025-03-21 06:17,Ad,T1826462319724561,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-21 06:17: Ad changed from Paused to Enabled"
2025-03-21 06:17,Ad,T1826462320847953,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-21 06:17: Ad changed from Enabled to Paused"
2025-03-21 05:51,Campaign,T1825842063812625,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-21 05:51: Campaign changed from Enabled to Paused"
2025-03-21 05:51,Ad group,T1825842063812641,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-21 05:51: Campaign changed from Enabled to Paused"
2025-03-20 05:49,Ad group,T1826281629113442,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-20 05:49: Campaign changed from Paused to Enabled"
2025-03-20 05:49,Campaign,T1826281629110370,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-20 05:49: Campaign changed from Paused to Enabled"
2025-03-20 05:49,Campaign,T1826282341197873,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-20 05:49: Campaign changed from Paused to Enabled"
2025-03-20 05:49,Ad group,T1826282343724033,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-20 05:49: Campaign changed from Paused to Enabled"
2025-03-20 05:49,Campaign,T1826282680625185,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-20 05:49: Campaign changed from Paused to Enabled"
2025-03-20 05:49,Ad group,T1826282680625201,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-20 05:49: Campaign changed from Paused to Enabled"
2025-03-20 05:49,Ad group,T1826281629113442,Settings,1********3@qq.com,Desktop,--,"2025-03-20 05:49: Name changed from b'TT-2YMB-ZNTE35-JC-CB-EU-S+-D0-BID-3.0-' to b'TT-2YMB-ZNTE35-JC-CB-EU-S+-D0-BID-3.0-0320'"
2025-03-20 05:48,Campaign,T1826281629110370,Settings,1********3@qq.com,Desktop,--,"2025-03-20 05:48: Name changed from b'TT-2YMB-ZNTE35-JC-CB-EU-S+-D0-BID-3.0-' to b'TT-2YMB-ZNTE35-JC-CB-EU-S+-D0-BID-3.0-0320'"
2025-03-20 05:48,Ad group,T1826282343724033,Settings,1********3@qq.com,Desktop,--,"2025-03-20 05:48: Name changed from b'TT-2YMB-ZNTE35-JC-CB-EU-Tiktok-D0-3.0-' to b'TT-2YMB-ZNTE35-JC-CB-EU-Tiktok-D0-3.0-0320'"
2025-03-20 05:48,Campaign,T1826282341197873,Settings,1********3@qq.com,Desktop,--,"2025-03-20 05:48: Name changed from b'TT-2YMB-ZNTE35-JC-CB-EU-Tiktok-D0-3.0-' to b'TT-2YMB-ZNTE35-JC-CB-EU-Tiktok-D0-3.0-0320'"
2025-03-20 05:48,Ad group,T1826282680625201,Settings,1********3@qq.com,Desktop,--,"2025-03-20 05:48: Name changed from b'TT-2YMB-ZNTE35-JC-CB-EU-Tiktok-AT-MCO-' to b'TT-2YMB-ZNTE35-JC-CB-EU-Tiktok-AT-MCO-0320'"
2025-03-20 05:48,Campaign,T1826282680625185,Settings,1********3@qq.com,Desktop,--,"2025-03-20 05:48: Name changed from b'TT-2YMB-ZNTE35-JC-CB-EU-Tiktok-AT-MCO-' to b'TT-2YMB-ZNTE35-JC-CB-EU-Tiktok-AT-MCO-0320'"
2025-03-19 06:48,Ad,T1827003754584145,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:48,Ad,T1826462319729969,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:48,Ad group,T1826462318017586,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-19 06:48,Ad,T1826828503759889,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:48,Ad,T1826462319711249,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:48,Ad,T1826828503765105,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:48,Ad,T1826462319724561,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:48,Ad,T1826462320853041,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:48,Ad,T1826462319716465,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:48,Ad,T1826462320847953,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 06:48: Status changed from b'In review' to b'Approved'"
2025-03-19 06:42,Ad group,T1826462318017586,Review Status,1********3@qq.com,Desktop,--,"2025-03-19 06:42: Review Status changed from b'In review' to b'Edited for review'"
2025-03-19 06:42,Ad,T1827003754584145,Ad,1********3@qq.com,Desktop,--,"2025-03-19 06:42: Create Ad"
2025-03-19 06:38,Ad,T1826462319729969,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-19 06:38: Ad changed from Enabled to Paused"
2025-03-19 03:23,Ad,T1826990902204465,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 03:23: Status changed from b'In review' to b'Approved'"
2025-03-19 03:23,Ad group,T1825842063812641,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 03:23: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-19 03:18,Ad group,T1825842063812641,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-19 03:18: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-19 03:18,Ad,T1826990902204465,Ad,1********3@qq.com,Desktop,--,"2025-03-19 03:18: Create Ad"
2025-03-19 03:16,Ad,T1826807229167617,On/Off Status,1********3@qq.com,Desktop,--,"2025-03-19 03:16: Ad changed from Enabled to Paused"
