Summary of Changes
Budget changes,0
Bid changes,0
Status changes,33

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-14 02:38,Campaign,T1826462075053201,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-14 02:38: Campaign changed from Paused to Enabled"
2025-03-14 02:38,Ad group,T1826462075053217,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-14 02:38: Campaign changed from Paused to Enabled"
2025-03-14 02:38,Campaign,T1826461409574001,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-14 02:38: Campaign changed from Paused to Enabled"
2025-03-14 02:38,Ad group,T1826461410066482,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-14 02:38: Campaign changed from Paused to Enabled"
2025-03-14 02:38,Ad group,T1826461112047633,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-14 02:38: Campaign changed from Paused to Enabled"
2025-03-14 02:38,Campaign,T1826461112047617,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-14 02:38: Campaign changed from Paused to Enabled"
2025-03-13 09:23,Ad group,T1826462075053217,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 09:23: Review Status changed from b'Edited for review' to b'Approved'"
2025-03-13 09:17,Ad group,T1826462075053217,Creative,x**********g@7road.com,Desktop,--,"2025-03-13 09:17: Text changed"
2025-03-13 09:17,Ad group,T1826462075053217,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 09:17: Review Status changed from b'Approved' to b'Edited for review'"
2025-03-13 07:22,Ad group,T1826462075053217,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:22: Review Status changed from b'In review' to b'Approved'"
2025-03-13 07:13,Campaign,T1826462075053201,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-13 07:13: Campaign changed from Enabled to Paused"
2025-03-13 07:13,Ad group,T1826462075053217,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-13 07:13: Campaign changed from Enabled to Paused"
2025-03-13 07:13,Campaign,T1826462075053201,Campaign,x**********g@7road.com,Desktop,--,"2025-03-13 07:13: Create Campaign"
2025-03-13 07:13,Ad group,T1826462075053217,Ad group,x**********g@7road.com,Desktop,--,"2025-03-13 07:13: Create Ad group"
2025-03-13 07:13,Ad group,T1826462075053217,Creative,x**********g@7road.com,Desktop,--,"2025-03-13 07:13: Display Name changed; 2025-03-13 07:13: Text changed"
