"client_name","adv_id","adgroup_id","ea","cat","date","cost($USD)","impression","cpm","click","ctr(%)","cpc","reach","frequency","lpv","cplpv","lpv_rate(%)","dlpv","cpdlpv","dlpv_rate(%)","atc","cp","cp_value","cp_roas"
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","LifeTime",25.85,15677,1.65,70,0.45,0.37,13529,1.16,51,0.51,72.86,6,4.31,8.57,0,0,0,0
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","D2025-01-20",20.76,12745,1.63,58,0.46,0.36,12252,1.04,43,0.48,74.14,4,5.19,6.9,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","LifeTime",25.77,19922,1.29,65,0.33,0.4,18263,1.09,26,0.99,40,5,5.15,7.69,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","D2025-01-20",21.24,17289,1.23,60,0.35,0.35,17058,1.01,24,0.89,40,5,4.25,8.33,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","LifeTime",25.91,14292,1.81,77,0.54,0.34,12057,1.19,44,0.59,57.14,4,6.48,5.19,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","D2025-01-20",20.35,11410,1.78,61,0.53,0.33,10931,1.04,35,0.58,57.38,3,6.78,4.92,0,0,0,0
"Bank Now FR","ADV7091261576040284162","TEST1821759156574386","DLPV","TEST","LifeTime",25.74,20734,1.24,55,0.27,0.47,18399,1.13,30,0.86,54.55,8,3.22,14.55,0,0,0,0
"Bank Now FR","ADV7091261576040284162","TEST1821759156574386","DLPV","TEST","D2025-01-20",20.56,17444,1.18,45,0.26,0.46,17176,1.02,23,0.89,51.11,5,4.11,11.11,0,0,0,0
"Bank Now EN","ADV7091261576040284162","CTRL1821759147486353","LPV","CTRL","LifeTime",24.73,16077,1.54,70,0.44,0.35,14173,1.13,41,0.6,58.57,7,3.53,10,0,0,0,0
"Bank Now EN","ADV7091261576040284162","CTRL1821759147486353","LPV","CTRL","D2025-01-20",19.12,13472,1.42,58,0.43,0.33,13062,1.03,32,0.6,55.17,6,3.19,10.34,0,0,0,0
